strain_name	virus	NCBI_code	host	AustralianState_city	year_month_day	lat	long	Genotype
RRV|MN038265|SW20275|Ae_camptorhynchus|WA_Busselton|1991_10_17	RRV	MN038265	Ae_camptorhynchus	WA_Busselton	1991-10-17	-33.66	115.35	G2B
RRV|MN038266|SW20733|Cq_species_linealis_like|WA_Cockburn|1992_02_20	RRV	MN038266	Cq_species_linealis_like	WA_Cockburn	1992-02-20	-32.13	115.82	G2B
RRV|MN038267|SW23448|Ae_sagax|WA_MountMagnet|1992_04_01	RRV	MN038267	Ae_sagax	WA_MountMagnet	1992-04-01	-28.07	117.85	G2B
RRV|MN038268|SW23656|Ae_vigilax|WA_Exmouth|1992_05_22	RRV	MN038268	Ae_vigilax	WA_Exmouth	1992-05-22	-21.95	114.13	G2B
RRV|MN038269|SW24015|Ae_tremulus|WA_MarbleBar|1992_05_16	RRV	MN038269	Ae_tremulus	WA_MarbleBar	1992-05-16	-21.19	119.79	G2B
RRV|MN038270|SW24336|Ae_ENMarks_species_no85|WA_Exmouth|1992_06_17	RRV	MN038270	Ae_ENMarks_species_no85	WA_Exmouth	1992-06-17	-21.95	114.13	G2B
RRV|MN038271|SW29862|Ae_ENMarks_species_no85|WA_Onslow|1992_06_13	RRV	MN038271	Ae_ENMarks_species_no85	WA_Onslow	1992-06-13	-21.67	115.10	G2B
RRV|MN038272|SW38788|Ae_camptorhynchus|WA_Busselton|1994_12_05	RRV	MN038272	Ae_camptorhynchus	WA_Busselton	1994-12-05	-33.66	115.35	G2B
RRV|MN038287|SWDN|Human|WA_Australind|1991	RRV	MN038287	Human	WA_Australind	1991	-33.28	115.72	G2B
RRV|MN038288|SWSM|Human|WA_Nannup|1992	RRV	MN038288	Human	WA_Nannup	1992	-33.98	115.77	G2B
RRV|MN038218|K1198|Cx_annulirostris|WA_ParrysCreek|1984_02_07	RRV	MN038218	Cx_annulirostris	WA_ParrysCreek	1984-02-07	-15.60	128.28	G2A
RRV|MN038219|K1503|Cx_annulirostris|WA_ParrysCreek|1984_01_26	RRV	MN038219	Cx_annulirostris	WA_ParrysCreek	1984-01-26	-15.60	128.28	G2A
RRV|MN038289|WK20|Cx_annulirostris|WA_Derby|1977	RRV	MN038289	Cx_annulirostris	WA_Derby	1977	-17.33	123.66	G2A
RRV|GQ433355|2982|Bird|QLD|1965	RRV	GQ433355	Bird	QLD	1965	-21.50	148.92	G1
RRV|GQ433356|3078|Finch|QLD|1965	RRV	GQ433356	Finch	QLD	1965	-21.50	148.92	G1
RRV|GQ433357|8961|Wallaby|QLD|1965	RRV	GQ433357	Wallaby	QLD	1965	-21.50	148.92	G1
RRV|GQ433358|9057|Wallaby|QLD|1968	RRV	GQ433358	Wallaby	QLD	1968	-21.50	148.92	G1
RRV|GQ433359|T48|Ae_vigilax|QLD_Townsville|1959	RRV	GQ433359	Ae_vigilax	QLD_Townsville	1959	-19.25	146.78	G1
RRV|GQ433360|2975|Flycatcher|QLD|1965	RRV	GQ433360	Flycatcher	QLD	1965	-21.50	148.92	G1
RRV|MK028845|14389|Human|Australia|1972	RRV	MK028845	Human	Australia	1972	-27.19	151.92	G1
RRV|MW147673|RRV_Mannum_V|Human|SA_Mannum|1971_06_24	RRV	MW147673	Human	SA_Mannum	1971-06-24	-34.91	139.31	G1

